Date & Time,sku,name,brand,Average Rating,Rating Count,Sponsered,price,Sales Price,Express,Rank,Link
2024-12-29 18:02:16,Z798FC1A11A054EC807C5Z,Longchamp Wome,Longchamp,NA,NA,Y,399.90,179.90,Y,NA,https://www.noon.com/uae-en/longchamp-women-s-mini-makeup-bag-handbag-shoulder-bag-black-classic-strapless/Z798FC1A11A054EC807C5Z/p/?o=z798fc1a11a054ec807c5z-1
2024-12-29 18:02:18,Z418087CAC07977787D7BZ,Splicing Yoga Bloc,Folanry EVA Cork,NA,NA,Y,56.80,46.20,Y,NA,https://www.noon.com/uae-en/eva-cork-splicing-yoga-block-2-pack-22-8x15-2x7-6cm-high-density-double-sided-anti-slip-wear-resistant-yoga-brick-with-comfortable-edge-to-improve-balance-strength-and-flexibility/Z418087CAC07977787D7BZ/p/?o=z418087cac07977787d7bz-1
2024-12-29 18:02:18,ZE5D7520215AA49D4ED49Z,Resistance Loop B,TYCOM Tycom,5.0,3,Y,49,28.60,Y,NA,https://www.noon.com/uae-en/tycom-resistance-loop-bands-resistance-exercise-bands-set-workout-bands-flex-bands-for-home-fitness-stretching-strength-training-physical-therapy-yoga/ZE5D7520215AA49D4ED49Z/p/?o=ze5d7520215aa49d4ed49z-1
2024-12-29 18:02:20,Z1D3ADA6357558909323FZ,Balanced Body ME,Balanced Body,NA,NA,N,"21,000","21,000",Y,NA,https://www.noon.com/uae-en/balanced-body-metro-iq-reformer-bundle-advanced-high-tech-pilates-reformer-with-smart-features-for-full-body-fitness-core-training-and-home-or-studio-workouts/Z1D3ADA6357558909323FZ/p/?o=z1d3ada6357558909323fz-1
2024-12-29 18:02:21,Z30D4CCA1797EC4F25257Z,Pilates Reformer Pi,Other Manufacturer,NA,NA,N,"5,053","4,999",Y,NA,https://www.noon.com/uae-en/pilates-reformer-pilates-dirac-loft-bed-yoga-bed-home-commercial-fitness-equipment/Z30D4CCA1797EC4F25257Z/p/?o=z30d4cca1797ec4f25257z-1
2024-12-29 18:02:22,ZA20A29558D85EF0EDB9EZ,Longchamp wome,Longchamp,NA,NA,Y,399.90,156.85,Y,NA,https://www.noon.com/uae-en/longchamp-women-s-large-tote-bag-handbag-shoulder-bag-navy-blue-classic-style-topic/ZA20A29558D85EF0EDB9EZ/p/?o=za20a29558d85ef0edb9ez-1
2024-12-29 18:02:23,Z1FFBA90CF03B4E1CDF5CZ,EVA Foam Roller f,MahMir Mahmir®,3.4,3,Y,29.95,29.95,Y,NA,https://www.noon.com/uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-light-blue/Z1FFBA90CF03B4E1CDF5CZ/p/?o=z1ffba90cf03b4e1cdf5cz-1
2024-12-29 18:02:24,ZE94894E319EC24478F43Z,Longchamp wome,Longchamp,NA,NA,Y,399.90,156.85,Y,NA,https://www.noon.com/uae-en/longchamp-women-s-large-tote-bag-handbag-shoulder-bag-black-classic-style/ZE94894E319EC24478F43Z/p/?o=ze94894e319ec24478f43z-1
2024-12-29 18:02:26,ZC252AE4B171F6F4B24C7Z,COOLBABY Pilates,Cool Baby Style,NA,NA,N,"4,779","3,910",Y,NA,https://www.noon.com/uae-en/coolbaby-pilates-reformer-pilates-multifunctional-yoga-bed-pilates-core-bed-fitness-equipment-pilates-training-bed-strength-adjustment-solid-wood/ZC252AE4B171F6F4B24C7Z/p/?o=zc252ae4b171f6f4b24c7z-1
2024-12-29 18:02:28,Z3C8FFE396E1C4B2EFA2DZ,Bed Yoga Studio Pi,Generic Pilates Yoga,NA,NA,N,"2,500","1,569",Y,NA,https://www.noon.com/uae-en/pilates-yoga-bed-yoga-studio-pilates-core-bed-pilates-training-bed-strength-adjustment-stainless-steel-yoga-training-bed/Z3C8FFE396E1C4B2EFA2DZ/p/?o=z3c8ffe396e1c4b2efa2dz-1
